,delay,day,duration
714,60,45,35400
715,60,45,36060
716,60,45,37380
717,60,45,37020
718,60,45,37440
719,480,45,38940
720,360,45,39660
721,360,45,40860
722,120,45,45720
723,120,45,46200
724,60,45,46860
725,60,45,51780
726,240,45,52920
727,240,45,53400
728,180,45,54060
729,60,45,54960
730,120,45,59040
731,60,45,63000
732,60,45,63660
733,60,45,64380
734,60,45,68940
735,240,45,81300
736,60,45,82140
737,60,45,84300
738,60,45,84960
739,180,45,85680
740,60,46,27900
741,60,46,28620
742,240,46,37380
743,180,46,42120
744,240,46,42600
745,180,46,43320
746,120,46,44520
747,300,46,45360
748,300,46,46020
749,360,46,46740
750,60,46,46500
751,60,46,49500
752,60,46,50220
753,120,46,50100
754,120,46,51300
755,180,46,51780
756,120,46,52440
757,60,46,53100
758,60,46,53820
759,240,46,54060
760,60,46,59040
761,60,46,64380
762,60,46,67080
763,120,46,67560
764,120,46,68220
765,180,46,68940
766,120,46,69720
767,600,46,75300
768,420,46,76560
769,420,46,77040
770,360,46,77700
771,240,46,78420
772,180,46,79140
773,60,46,78120
774,480,47,73440
775,420,47,74160
776,360,47,74820
777,360,47,75540
778,360,47,1440
779,240,47,2100
780,240,47,3840
781,60,47,55440
782,60,47,56040
783,60,47,64380
784,480,47,77040
785,360,47,77700
786,240,47,78420
787,240,47,79140
788,300,47,78600
789,240,47,79260
790,120,47,79980
791,120,47,80700
792,300,47,80580
793,180,47,81300
794,420,47,84300
795,540,47,84960
796,360,47,180
797,120,48,3120
798,420,48,3840
799,60,48,24720
800,60,48,37380
801,60,48,40860
802,180,48,42120
803,180,48,42600
804,120,48,44520
805,120,48,46740
806,60,48,54060
807,60,48,58560
808,60,48,58980
809,60,48,67560
810,120,48,68220
811,60,48,68940
812,180,48,70440
813,120,48,71160
814,120,48,71880
815,240,48,75300
816,420,49,24720
817,720,49,25320
818,1260,49,26040
819,1260,49,26520
820,1140,49,27240
821,1620,49,27900
822,1620,49,28620
823,60,49,31800
824,240,49,32460
825,1080,49,33780
826,600,49,32220
827,1380,49,33480
828,1620,49,33900
829,1800,49,34620
830,2400,49,35340
831,2940,49,36000
832,2160,49,35880
833,2700,49,37020
834,2940,49,37440
835,3060,49,38160
836,3360,49,38880
837,4080,49,39600
838,1200,49,39540
839,1740,49,40680
840,1920,49,41160
841,2880,49,41820
842,1860,49,82680
843,2040,52,26520
844,2220,52,27240
845,2520,52,27900
846,120,53,24720
847,120,53,25320
848,60,53,26040
849,60,53,26520
850,600,53,31260
851,540,53,31800
852,660,53,32460
853,480,53,33780
854,60,53,40860
855,120,53,46740
856,60,53,49500
857,120,53,50220
858,300,53,50520
859,180,53,51780
860,240,53,54060
861,60,53,54960
862,120,53,55440
863,120,53,56040
864,120,53,56700
865,180,53,57420
866,60,53,60360
867,120,53,61080
868,60,53,64380
869,60,53,70440
870,300,53,79260
871,420,53,79980
872,480,53,80700
873,60,54,31260
874,60,54,37380
875,1800,54,35880
876,2160,54,37020
877,2280,54,37440
878,2340,54,38160
879,2400,54,38880
880,2460,54,39600
881,1080,54,38520
882,1140,54,38940
883,1140,54,39660
884,1620,54,40860
885,180,54,39540
886,300,54,40680
887,240,54,41160
888,480,54,41820
889,360,54,42540
890,300,54,43260
891,300,54,45360
892,180,54,46020
893,180,54,46740
894,120,54,46860
895,120,54,59040
896,480,54,62040
897,480,54,62760
898,60,54,63660
899,60,54,64380
900,120,54,67560
901,180,54,68220
902,180,54,68940
903,120,54,69720
904,300,54,70440
905,240,54,71160
906,180,54,71880
907,300,54,75300
908,120,54,76560
909,60,54,77040
910,60,54,80580
911,60,54,81300
912,180,55,71040
913,180,55,900
914,120,55,1440
915,60,55,2100
916,120,55,36000
917,1920,55,40860
918,2220,55,42540
919,2220,55,43260
920,420,55,43320
921,1920,55,44520
922,2280,55,46020
923,2340,55,46740
924,1500,55,48240
925,120,55,49500
926,120,55,50220
927,420,55,50520
928,360,55,51780
929,60,55,55440
930,120,55,75300
931,120,56,72900
932,60,56,73440
933,60,56,24720
934,60,56,36000
935,60,56,40860
936,60,56,39540
937,120,56,42900
938,60,56,46740
939,60,56,49380
940,60,56,49860
941,60,56,53400
942,60,56,54060
943,60,56,57180
944,60,56,61080
945,60,56,68280
946,60,56,70440
947,180,56,84300
948,120,56,84960
949,60,56,85680
950,60,57,39420
951,180,57,43080
952,60,57,45900
953,60,57,50100
954,60,57,54120
955,180,57,55320
956,60,57,53700
957,120,57,58860
958,120,57,72060
959,120,57,73380
960,60,57,71700
961,60,57,72900
962,120,57,73380
963,60,57,74040
964,60,57,74700
965,60,57,75420
966,60,57,78900
967,60,57,86040
968,180,57,900
969,60,57,1440
970,60,57,2100
971,240,57,2820
972,240,57,3540
973,240,59,71040
974,180,59,71580
975,240,59,72240
976,240,59,72900
977,240,59,73620
978,120,59,24720
979,60,59,25320
980,240,59,27240
981,240,59,27900
982,240,59,28620
983,1740,59,33780
984,300,59,35340
985,300,59,36000
986,60,59,35400
987,120,59,37380
988,60,59,37440
989,480,59,45720
990,420,59,46200
991,720,59,46860
992,540,59,48240
993,120,59,50100
994,60,59,56700
995,60,59,57420
996,120,59,63000
997,180,59,63660
998,180,59,64380
999,60,59,82140
1000,60,59,85680
1001,120,60,420
1002,120,60,1080
1003,60,60,1740
1004,60,60,2460
1005,60,60,3840
1006,60,60,11220
1007,60,60,10620
1008,120,60,11280
1009,120,60,12600
1010,660,60,25440
1011,60,60,25080
1012,240,60,32400
1013,60,60,34200
1014,120,60,42780
1015,180,60,43500
1016,300,60,42300
1017,300,60,42780
1018,240,60,43440
1019,180,60,44160
1020,120,60,44940
1021,60,60,45660
1022,660,60,50520
1023,840,60,51780
1024,900,60,52260
1025,900,60,52920
1026,960,60,53640
1027,1020,60,54360
1028,240,60,54480
1029,180,60,55200
1030,180,60,55920
1031,120,60,57900
1032,120,60,59040
1033,60,60,59520
1034,60,61,72600
1035,120,61,73320
1036,180,61,26880
1037,60,61,37080
1038,60,61,36720
1039,120,61,37140
1040,60,61,38640
1041,1740,61,46200
1042,1560,61,47400
1043,1560,61,47880
1044,1500,61,48540
1045,1560,61,49200
1046,1620,61,49920
1047,1740,61,49800
1048,1920,61,51000
1049,2040,61,51480
1050,1980,61,52140
1051,2040,61,52800
1052,2040,61,53520
1053,60,61,67260
1054,60,61,67980
1055,180,61,66780
1056,180,61,67260
1057,180,61,67920
1058,120,61,68640
1059,60,61,69420
1060,60,61,71580
1061,600,61,78600
1062,480,61,79800
1063,480,61,80280
1064,480,61,81000
1065,240,61,81840
1066,180,61,82620
1067,240,62,37140
1068,60,62,37860
1069,60,62,46200
1070,60,62,49200
1071,60,62,49920
1072,120,62,53460
1073,180,62,56400
1074,120,62,57120
1075,1140,62,56220
1076,1080,62,56760
1077,1020,62,57420
1078,1200,62,58740
1079,420,62,56880
1080,240,62,58260
1081,240,62,58680
1082,180,62,59340
1083,60,62,60060
1084,120,62,70140
